Judul,Kategori,Author,Tanggal,Highlight,Link
Infografis Proyek Investor Asing Mulai Masuk IKN Nusantara dan Peletakan Batu Pertama,Infografis,Anri Syaiful,Tidak dicantumkan,"Menjelang akhir jabatan, Presiden Jokowi memimpin groundbreaking atau peletakan batu pertama terhadap 5 proyek di IKN Nusantara. Menurut Jokowi, 3 dari 5 penanaman modal dari investor asing dan terafiliasi asing. Sedangkan 2 proyek dari perusahaan swasta nasional.",https://www.liputan6.com/news/read/5713332/infografis-proyek-investor-asing-mulai-masuk-ikn-nusantara-dan-peletakan-batu-pertama
Redupnya Pamor Factory Outlet yang Pernah Berjaya Menarik Wisatawan,Travel,Dinny Mutiah,"29 Sep 2024, 08:30 WIB",Banyak factory outlet yang pernah menjadi destinasi wisata utama di Bandung dan sekitarnya kini tutup. Yang bertahan pun sudah tak fokus lagi hanya menjadi factory outlet.,https://www.liputan6.com/lifestyle/read/5713982/redupnya-pamor-factory-outlet-yang-pernah-berjaya-menarik-wisatawan
Prediksi Liga Inggris Manchester United vs Tottenham Hotspur: Sama-Sama Butuh Menang,Liga Inggris,Harley Ikhsan,"29 Sep 2024, 08:30 WIB","Manchester United menjamu Tottenham Hotspur pada lanjutan Liga Inggris 2024/2025 di Old Trafford, Minggu (29/9/2024) pukul 22.30 WIB. Pertandingan bisa disaksikan langsung melalui Vidio.",https://www.liputan6.com/bola/read/5713981/prediksi-liga-inggris-manchester-united-vs-tottenham-hotspur-sama-sama-butuh-menang
"Nasihat Syekh Ali Jaber, Cara Efektif Redakan Kemarahan",Islami,Liputan6.com,"29 Sep 2024, 08:30 WIB",Syekh Ali Jaber menyarankan agar orang-orang yang mudah marah untuk tidak berbicara sama sekali saat emosi sedang memuncak.,https://www.liputan6.com/islami/read/5713878/nasihat-syekh-ali-jaber-cara-efektif-redakan-kemarahan
Harga Kripto Hari Ini 29 September 2024: Bitcoin Masih Parkir di Zona Hijau,Crypto,Gagas Yoga Pratomo,"29 Sep 2024, 08:28 WIB","Harga kripto jajaran teratas bergerak di zona merah pada Minggu, 29 September 2024. Di sisi lain, harga bitcoin menguat 0,2 persen.",https://www.liputan6.com/crypto/read/5714168/harga-kripto-hari-ini-29-september-2024-bitcoin-masih-parkir-di-zona-hijau
"5 Zodiak yang Sering Merasa Paling Tersakiti, Kamu Termasuk?",Hot,Ricka Milla Suatin,"29 Sep 2024, 08:27 WIB","Ternyata, berdasarkan zodiak, ada beberapa karakter yang lebih sensitif dan cenderung merasa lebih tersakiti.",https://www.liputan6.com/hot/read/5713443/5-zodiak-yang-sering-merasa-paling-tersakiti-kamu-termasuk
Cuaca Besok Senin 30 September 2024: Langit Pagi Jakarta Seluruhnya Berawan Tebal,Peristiwa,Nasrul Faiz,"29 Sep 2024, 08:20 WIB","Pagi hari di Jakarta besok, Senin, 30 September 2024, seluruh langitnya diprakirakan berawan tebal, tanpa terkecuali. Demikianlah prediksi cuaca besok.",https://www.liputan6.com/news/read/5714160/cuaca-besok-senin-30-september-2024-langit-pagi-jakarta-seluruhnya-berawan-tebal
"Gedung Bakamla RI Kebakaran, 19 Mobil Damkar dan 95 Personel Dikerahkan",Peristiwa,Nanda Perdana Putra,"29 Sep 2024, 08:04 WIB","Kebakaran melanda Gedung Bakamla RI di Jalan Proklamasi, Pegangsaan, Menteng, Jakarta Pusat, pada Minggu (29/9/2024) pagi. Sebanyak 19 unit mobil pemadam kebakaran dan 95 personel dikerahkan untuk menangani insiden ini.",https://www.liputan6.com/news/read/5714178/gedung-bakamla-ri-kebakaran-19-mobil-damkar-dan-95-personel-dikerahkan
4 Zodiak yang Bergulat dengan Keraguan Diri dalam Hubungan,Citizen6,Yulia Lisnawati,"29 Sep 2024, 08:03 WIB","Bagi beberapa zodiak, keraguan diri dalam hubungan seringkali menjadi tantangan yang harus dihadapi.",https://www.liputan6.com/citizen6/read/5713871/4-zodiak-yang-bergulat-dengan-keraguan-diri-dalam-hubungan
"Tanggapi Gerakan Coblos 3 Paslon, KPU Minta Pemilih Bijak Gunakan Hak Pilihnya",Pemilu,Muhammad Radityo Priyasmoro,"29 Sep 2024, 08:02 WIB","Komisioner KPU Jakarta, Dodi Wijaya mengajak semua elemen masyarakat untuk ikut terlibat aktif mensukseskan Pilkada 2024.",https://www.liputan6.com/pemilu/read/5714170/tanggapi-gerakan-coblos-3-paslon-kpu-minta-pemilih-bijak-gunakan-hak-pilihnya
